controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
free-deployment-average-195-9a37d9cb60ac,average,0.5,0.19963,1
free-deployment-average-252-f1ffeac2571a,average,0.5,0.196911,1
free-deployment-average-220-b61f8ab675e4,average,0.5,0.202967,1
free-deployment-average-256-2c2981a5c8b4,average,0.5,0.199727,1
free-deployment-average-183-c57965d8fd91,average,0.5,0.196757,1
free-deployment-average-196-8e0c80fba3ef,average,0.5,0.198754,1
free-deployment-average-240-3f39cd2a269a,average,0.5,0.19931,1
free-deployment-average-250-bf2cd9a9df35,average,0.5,0.200399,1
free-deployment-average-244-4ffc0dc813ac,average,0.5,0.202272,1
free-deployment-average-233-3f5aa011b66d,average,0.5,0.202025,1
free-deployment-average-162-451b13fa1346,average,0.5,0.198296,1
free-deployment-average-237-dea82c01cd93,average,0.5,0.198232,1
free-deployment-average-238-9ef284ab7f0b,average,0.5,0.199221,1
free-deployment-average-167-579780d54b9a,average,0.5,0.200545,1
free-deployment-average-232-7c269ee1ebcf,average,0.5,0.201262,1
free-deployment-average-249-d647bdfefa1a,average,0.5,0.202697,1
free-deployment-average-161-08923ba80ac5,average,0.5,0.200177,1
free-deployment-average-165-00dfcfbf3443,average,0.5,0.199018,1
free-deployment-average-225-379a7f77f5c1,average,0.5,0.200557,1
free-deployment-average-235-6408bf1245b2,average,0.5,0.201686,1
free-deployment-average-218-cad900b1d79c,average,0.5,0.203915,1
free-deployment-average-211-b1a17f63af01,average,0.5,0.200025,1
free-deployment-average-254-2a259b4c2303,average,0.5,0.199332,1
free-deployment-average-224-fe2046edffe9,average,0.5,0.199266,1
free-deployment-average-253-5798b6ec0f57,average,0.5,0.199398,1
free-deployment-average-207-723bc853e759,average,0.5,0.199148,1
free-deployment-average-191-c533d75b39f3,average,0.5,0.199196,1
free-deployment-average-247-67d9919c78ed,average,0.5,0.199197,1
free-deployment-average-206-b7bccfe3c978,average,0.5,0.199522,1
free-deployment-average-255-a1f36ae7017b,average,0.5,0.199761,1
free-deployment-average-227-d0b13cfb120d,average,0.5,0.2001,1
free-deployment-average-223-f31459c0d4e3,average,0.5,0.200133,1
free-deployment-average-205-3b155121ce45,average,0.5,0.200243,1
free-deployment-average-234-3765fa888fdc,average,0.5,0.200395,1
free-deployment-average-229-ce1b964415b0,average,0.5,0.200268,1
free-deployment-average-200-9a8d7103c7e7,average,0.5,0.198878,1
free-deployment-average-251-98900afcc72c,average,0.5,0.999795,1
prod-deployment-average-2-78a5f8e3395b,average,1,0.999791,1
free-deployment-average-184-9c6d5e1ddbbe,average,0.5,0.999786,1
free-deployment-average-175-89be5abea71b,average,0.5,0.99978,1
batch-deployment-average-97-aeaaf3c399f5,average,0.9,0.999774,1
free-deployment-average-189-0c8159b9761e,average,0.5,0.999769,1
free-deployment-average-179-5930cefa2afa,average,0.5,0.999762,1
free-deployment-average-245-bb4d2fa0b1f1,average,0.5,0.999759,1
prod-deployment-average-40-bd84975c4352,average,1,0.999753,1
batch-deployment-average-108-7ebacdf30a56,average,0.9,0.999748,1
free-deployment-average-197-33d70c6203e2,average,0.5,0.999742,1
prod-deployment-average-21-97f9fa6c6ee6,average,1,0.999737,1
batch-deployment-average-117-7f5bfc9ec76d,average,0.9,0.999732,1
free-deployment-average-190-5181904d7a0f,average,0.5,0.999726,1
prod-deployment-average-63-fe29a50ecde3,average,1,0.999721,1
batch-deployment-average-135-6f16a064bb58,average,0.9,0.999994,1
free-deployment-average-230-99104ec2d1ef,average,0.5,0.99999,1
batch-deployment-average-147-eb8a478921ad,average,0.9,0.999984,1
free-deployment-average-163-b9a491f888e7,average,0.5,0.999979,1
batch-deployment-average-137-ba47cdd52ed6,average,0.9,0.999974,1
free-deployment-average-210-21f76f7fc1ca,average,0.5,0.999969,1
batch-deployment-average-84-259eac451c3b,average,0.9,0.999963,1
free-deployment-average-209-39579b3c021a,average,0.5,0.999958,1
batch-deployment-average-81-dca16ca4b7ce,average,0.9,0.999954,1
prod-deployment-average-35-8324508df5d5,average,1,0.999948,1
prod-deployment-average-70-7dffa3337ebf,average,1,0.999938,1
batch-deployment-average-141-d1c388f97edd,average,0.9,0.999932,1
prod-deployment-average-17-67f969f32c4e,average,1,0.999927,1
batch-deployment-average-87-c3d11835c0b6,average,0.9,0.999922,1
prod-deployment-average-39-3119a9a7c600,average,1,0.999914,1
batch-deployment-average-128-27aa05c16d42,average,0.9,0.999911,1
prod-deployment-average-24-86ca4b6d0e62,average,1,0.999905,1
batch-deployment-average-104-a1c6cdb03e2c,average,0.9,0.999899,1
prod-deployment-average-16-b117b639fb42,average,1,0.999893,1
prod-deployment-average-8-f6fe0f130c69,average,1,0.999888,1
batch-deployment-average-93-700be1761285,average,0.9,0.999877,1
batch-deployment-average-144-6feb7f55360f,average,0.9,0.999872,1
prod-deployment-average-41-c1d6ccc4ed9b,average,1,0.999865,1
batch-deployment-average-101-06682d0f0660,average,0.9,0.99986,1
prod-deployment-average-46-b0586262d49f,average,1,0.999853,1
batch-deployment-average-151-740af54f0add,average,0.9,0.999847,1
batch-deployment-average-156-652fb6d4e604,average,0.9,0.999841,1
batch-deployment-average-99-1a343aec805f,average,0.9,0.999836,1
batch-deployment-average-115-149d22a3d405,average,0.9,0.999826,1
prod-deployment-average-11-daf5fa5abfe6,average,1,0.99982,1
batch-deployment-average-159-8e543557d9ea,average,0.9,0.999805,1
batch-deployment-average-126-73793edc99fb,average,0.9,0.9998,1
prod-deployment-average-32-11a03c29e629,average,1,0.999791,1
batch-deployment-average-145-142763f82f00,average,0.9,0.999787,1
prod-deployment-average-69-ecc8c366ab08,average,1,0.999776,1
batch-deployment-average-131-f0b200ba3b45,average,0.9,0.99977,1
prod-deployment-average-55-c5c573aef86e,average,1,0.99976,1
batch-deployment-average-160-283602b0a415,average,0.9,0.999749,1
prod-deployment-average-43-9d673665da88,average,1,0.999733,1
prod-deployment-average-36-5d577a58c079,average,1,0.999718,1
batch-deployment-average-95-9decbc7e1b55,average,0.9,0.999995,1
batch-deployment-average-129-6479d86343a6,average,0.9,0.999983,1
prod-deployment-average-25-e5cfff02c88d,average,1,0.999976,1
batch-deployment-average-107-32fb104d2f88,average,0.9,0.999945,1
prod-deployment-average-78-cb2bbc9c142f,average,1,0.999943,1
prod-deployment-average-12-532a40bc86e9,average,1,0.999932,1
batch-deployment-average-134-a7a2416294c9,average,0.9,0.999918,1
prod-deployment-average-22-9a6fb963902e,average,1,0.999913,1
prod-deployment-average-18-310a437a767d,average,1,0.999899,1
batch-deployment-average-127-ebaf44fc905b,average,0.9,0.999894,1
prod-deployment-average-71-04d83600dd78,average,1,0.999877,1
prod-deployment-average-60-c4fa24e6f168,average,1,0.99987,1
prod-deployment-average-42-acf212513fca,average,1,0.999864,1
prod-deployment-average-44-8c09c5217d12,average,1,0.999853,1
batch-deployment-average-116-c619466103e6,average,0.9,0.999849,1
prod-deployment-average-1-bc3ffd58b3bc,average,1,0.999842,1
batch-deployment-average-92-eb55c8557f72,average,0.9,0.999833,1
batch-deployment-average-106-5435fd1b5c3f,average,0.9,0.99983,1
prod-deployment-average-56-01fe52a7501e,average,1,0.99982,1
batch-deployment-average-125-2da98861d32b,average,0.9,0.999807,1
batch-deployment-average-82-cd50a6312210,average,0.9,0.999801,1
prod-deployment-average-3-6a0049113e56,average,1,0.999795,1
prod-deployment-average-29-502a275144b9,average,1,0.999785,1
batch-deployment-average-112-f77666d6111d,average,0.9,0.987182,1
prod-deployment-average-6-0f0d9112f044,average,1,0.998669,1
prod-deployment-average-62-22a576e899ec,average,1,0.999186,1
prod-deployment-average-10-1275f9484f44,average,1,0.998872,1
prod-deployment-average-68-a2267363955b,average,1,0.997994,1
prod-deployment-average-31-f1a57fd906dc,average,1,0.997235,1
batch-deployment-average-148-ee609bd0c304,average,0.9,0.993996,1
batch-deployment-average-138-05da6ac0953f,average,0.9,0.992655,1
prod-deployment-average-33-e55b898c5581,average,1,0.998573,1
batch-deployment-average-154-33e63d2cf15f,average,0.9,0.992159,1
prod-deployment-average-38-fe8c97443c35,average,1,0.997395,1
batch-deployment-average-122-a8cb750ecdc2,average,0.9,0.991522,1
prod-deployment-average-53-5b49d150a630,average,1,0.998416,1
batch-deployment-average-120-93befff25649,average,0.9,0.992376,1
