,deploy_id,minimum,mean,maximum,total,q50,q75,q90,q95,q99,threshold_quantile_q95,threshold_quantile_q90
1,batch-deployment-average-101-06682d0f0660,0.000108,0.000250799069496947,0.012134,3439,0.000242,0.000287,0.000325,0.000348,0.00038762,0.975865077057284,0.928758359988369
2,batch-deployment-average-104-a1c6cdb03e2c,0.000158,0.000266114335461405,0.003392,3446,0.000258,0.000298,0.0003315,0.000352,0.00039755,0.968659315147998,0.912071967498549
3,batch-deployment-average-106-5435fd1b5c3f,0.000144,0.000220504427390791,0.00307,3388,0.000204,0.000238,0.00029,0.00031965,0.00038013,0.985537190082645,0.966056670602125
4,batch-deployment-average-107-32fb104d2f88,0.000138,0.000197302728072749,0.001787,3409,0.00019,0.000208,0.000231,0.00026,0.00034084,0.994133176884717,0.988853036080962
5,batch-deployment-average-108-7ebacdf30a56,0.000149,0.000271059942363112,0.004045,3470,0.000258,0.000307,0.000349,0.000372,0.000423,0.939481268011527,0.857925072046109
6,batch-deployment-average-112-f77666d6111d,0.000138,0.000206215448357502,0.001388,3379,0.000196,0.00022,0.000257,0.000291,0.00036822,0.989641905889316,0.975732465226398
7,batch-deployment-average-115-149d22a3d405,0.000144,0.000204272065249053,0.001668,3433,0.000194,0.000217,0.000248,0.0002794,0.00035336,0.992135158753277,0.986309350422371
8,batch-deployment-average-116-c619466103e6,0.000169,0.000282578000589797,0.00185,3391,0.000279,0.00031,0.00034,0.00036,0.0004193,0.961663226186966,0.884104983780596
9,batch-deployment-average-117-7f5bfc9ec76d,0.000141,0.000294122295933083,0.001732,3467,0.000291,0.000333,0.000366,0.000389,0.00044168,0.900490337467551,0.759734640899913
10,batch-deployment-average-120-93befff25649,0.000168,0.000271526849642005,0.008273,3352,0.000259,3e-04,0.000335,0.000357,0.00040298,0.963603818615752,0.901551312649165
11,batch-deployment-average-122-a8cb750ecdc2,0.000138,0.000207732738095238,0.000724,3360,0.000195,0.000221,0.000264,0.000301,0.000367639999999999,0.989880952380952,0.973809523809524
12,batch-deployment-average-125-2da98861d32b,0.000146,0.000258704196217494,0.000704,3384,0.000248,0.000293,0.00033,0.00035,0.000394,0.974586288416076,0.911052009456265
13,batch-deployment-average-126-73793edc99fb,0.000152,0.000269494313210849,0.004072,3429,0.00026,0.000293,0.000331,0.000354,0.000407,0.967045785943424,0.915427238261884
14,batch-deployment-average-127-ebaf44fc905b,0.000163,0.000279740217711092,0.00101,3399,0.000275,0.000311,0.0003432,0.000361,0.00040602,0.959988231832892,0.867019711679906
15,batch-deployment-average-128-27aa05c16d42,0.00013,0.00022772505800464,0.003038,3448,0.000213,0.00025,0.000305,0.00033165,0.000378,0.986078886310905,0.955916473317865
16,batch-deployment-average-129-6479d86343a6,0.00014,0.000191194314185229,0.00163,3412,0.000185,2e-04,0.00022,0.000234,0.000302,0.996776084407972,0.994138335287222
17,batch-deployment-average-131-f0b200ba3b45,0.000122,0.000190972254672897,0.001375,3424,0.000183,0.000198,0.00022,0.00025,0.00035131,0.991822429906542,0.987441588785047
18,batch-deployment-average-134-a7a2416294c9,0.000108,0.000198031442844549,0.001117,3403,0.00019,0.000213,0.000244,0.000273,0.00036198,0.990596532471349,0.985013223626212
19,batch-deployment-average-135-6f16a064bb58,0.00014,0.000194429561200924,0.001229,3464,0.000186,0.000207,0.000235,0.000259,0.00033248,0.995381062355658,0.990184757505774
20,batch-deployment-average-137-ba47cdd52ed6,0.000165,0.000264554624277457,0.001806,3460,0.000252,0.000294,0.000336,0.000359,0.000415,0.959826589595376,0.897398843930636
21,batch-deployment-average-138-05da6ac0953f,0.000131,0.000196022882615156,0.001351,3365,0.000188,0.00021,0.000233,0.0002518,0.00030672,0.996731054977712,0.994353640416048
22,batch-deployment-average-141-d1c388f97edd,0.000138,0.000194037949015064,0.001295,3452,0.000187,0.000204,0.000228,0.00025145,0.000332,0.994785631517961,0.991309385863268
23,batch-deployment-average-144-6feb7f55360f,0.000141,0.000196691659401337,0.001201,3441,0.000189,0.000209,0.000236,0.000262,0.00034,0.994768962510898,0.988956698634118
24,batch-deployment-average-145-142763f82f00,0.000126,0.000204115844762183,0.002387,3427,0.000196,0.000218,0.000245,0.000267,0.00035648,0.991829588561424,0.985409979573971
25,batch-deployment-average-147-eb8a478921ad,0.00013,0.000254177642980936,0.001504,3462,0.000243,0.000288,0.000327,0.000349,0.00039678,0.97053726169844,0.922588099364529
26,batch-deployment-average-148-ee609bd0c304,0.000122,0.000203351351351351,0.003363,3367,0.000195,0.000219,0.000242,0.000261,0.000327,0.995544995544996,0.992574992574993
27,batch-deployment-average-151-740af54f0add,0.000145,0.000219084957812045,0.002801,3437,0.000207,0.000231,0.000269,0.000302,0.000372,0.987489089322083,0.975560081466395
28,batch-deployment-average-154-33e63d2cf15f,0.000145,0.000250423854848305,0.001681,3362,0.000238,0.000272,0.000319,0.00034795,0.00039839,0.97412254610351,0.929803688280785
29,batch-deployment-average-156-652fb6d4e604,0.000144,0.000287162107101281,0.001494,3436,0.00028,0.000319,0.000356,0.000378,0.000433,0.931024447031432,0.829161816065192
30,batch-deployment-average-159-8e543557d9ea,0.00013,0.000241983090379009,0.003262,3430,0.000229,0.00026875,0.0003151,0.000343,0.00039,0.977259475218659,0.937609329446064
31,batch-deployment-average-160-283602b0a415,0.000146,0.000209982748538012,0.001296,3420,0.000199,0.00022,0.000254,0.000286,0.000362,0.99093567251462,0.984502923976608
