,deploy_id,minimum,mean,maximum,total,q50,q75,q90,q95,q99
1,prod-deployment-average-18-f9e8688f7c1f,0.000178,0.000308613128085972,0.004078,3443,0.000304,0.000332,0.000361,0.0003779,0.000418
2,prod-deployment-average-2-a79a2a57b918,0.000153,0.000246770845313398,0.001999,3478,0.000226,0.00029,0.000341,0.000361,0.000397
3,prod-deployment-average-21-c669d32bf791,0.00015,0.000273458261370178,0.001807,3474,0.000266,0.000313,0.000348,0.000368,0.000425
4,prod-deployment-average-22-ef5e14a0369e,0.000181,0.00031762456445993,0.00306,3444,0.000316,0.000342,0.000366,0.000382,0.000424
5,prod-deployment-average-29-146f8485ac2c,0.000181,0.000320033517924803,0.001329,3431,0.000318,0.000358,0.000393,0.000415,0.0004724
6,prod-deployment-average-3-ee9590bdcd55,0.000163,0.000295979900961258,0.001303,3433,0.000296,0.000329,0.000356,0.000372,0.00040836
7,prod-deployment-average-33-8fb7eaa4a4e5,0.000163,0.000281298860648554,0.001587,3423,0.000275,0.000326,0.000361,0.00038,0.000432899999999999
8,prod-deployment-average-35-d07f848d99fb,0.000131,0.000268007206687806,0.001637,3469,0.000262,0.000302,0.000341,0.0003656,0.000418
9,prod-deployment-average-36-bd13fd8ea536,0.000171,0.000285158886633807,0.001377,3449,0.000282,0.000318,0.0003462,0.0003656,0.00041504
10,prod-deployment-average-43-7f1b2ba70cb5,0.000179,0.000288849029266879,0.003059,3451,0.000284,0.000321,0.000351,0.000371,0.000423
11,prod-deployment-average-44-89f0d7ef451e,0.000167,0.000286583018319279,0.000676,3439,0.000286,0.000319,0.000349,0.000365,0.000398
12,prod-deployment-average-46-2a95b5674b57,0.000176,0.000333468786127168,0.004079,3460,0.000331,0.000371,0.0004071,0.000431,0.00047841
13,prod-deployment-average-53-d4490c6d4498,0.00015,0.000232014331675929,0.002442,3419,0.000221,0.000251,0.000289,0.0003171,0.000385280000000001
14,prod-deployment-average-55-9f4cfde24e34,0.000165,0.000281860492040521,0.000704,3455,0.000277,0.000315,0.000347,0.000365,0.00040246
15,prod-deployment-average-56-554058d877ba,0.000175,0.000342179807972069,0.001519,3437,0.000339,0.000373,0.000404,0.000427,0.00046864
16,prod-deployment-average-62-697db3989323,0.000138,0.000206551925320887,0.00305,3428,0.000194,0.000217,0.000254,0.00028865,0.00036746
17,prod-deployment-average-68-84c0bcc7a1e4,0.000116,0.000204969352014011,0.001728,3426,0.000188,0.00022,0.000285,0.000316,0.000391
18,prod-deployment-average-71-b4e8b411f564,0.000166,0.000286770348837209,0.001105,3440,0.000288,0.00032,0.000347,0.000365,0.00040861
19,prod-deployment-average-78-fdcf3bdac358,0.000175,0.00030611230412072,0.003942,3446,0.000305,0.000334,0.000361,0.000376,0.00042255
20,prod-deployment-average-8-4ac7f1775008,0.00016,0.000281890300230947,0.00238,3464,0.0002675,0.000321,0.000366,0.00039,0.00046237
