controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-199,average,0.5,0.000256,1
bronze-controller-200,average,0.5,0.000226,1
bronze-controller-194,average,0.5,0.000633,1
bronze-controller-193,average,0.5,0.000802,1
bronze-controller-195,average,0.5,0.000802,1
bronze-controller-192,average,0.5,0.00104,1
bronze-controller-190,average,0.5,0.001445,1
bronze-controller-188,average,0.5,0.001613,1
bronze-controller-189,average,0.5,0.001726,1
bronze-controller-191,average,0.5,0.001711,1
bronze-controller-182,average,0.5,0.002258,1
bronze-controller-181,average,0.5,0.002425,1
bronze-controller-1,average,0.5,0.999895,1
bronze-controller-10,average,0.5,0.999882,1
bronze-controller-100,average,0.5,0.999756,1
bronze-controller-101,average,0.5,0.999854,1
bronze-controller-103,average,0.5,0.999812,1
bronze-controller-106,average,0.5,0.999868,1
bronze-controller-108,average,0.5,0.999784,1
bronze-controller-110,average,0.5,0.99991,1
bronze-controller-112,average,0.5,0.99984,1
bronze-controller-113,average,0.5,0.999741,1
bronze-controller-114,average,0.5,0.999952,1
bronze-controller-115,average,0.5,0.999911,1
bronze-controller-119,average,0.5,0.999924,1
bronze-controller-12,average,0.5,0.999772,1
bronze-controller-120,average,0.5,0.99991,1
bronze-controller-121,average,0.5,0.999742,1
bronze-controller-122,average,0.5,0.999994,1
bronze-controller-124,average,0.5,0.999924,1
bronze-controller-127,average,0.5,0.999994,1
bronze-controller-128,average,0.5,0.99998,1
bronze-controller-129,average,0.5,0.999938,1
bronze-controller-13,average,0.5,0.999731,1
bronze-controller-130,average,0.5,0.999854,1
bronze-controller-131,average,0.5,0.999757,1
bronze-controller-132,average,0.5,0.99998,1
bronze-controller-134,average,0.5,0.999868,1
bronze-controller-137,average,0.5,0.999966,1
bronze-controller-138,average,0.5,0.999924,1
bronze-controller-14,average,0.5,0.999939,1
bronze-controller-141,average,0.5,0.99991,1
bronze-controller-142,average,0.5,0.999895,1
bronze-controller-144,average,0.5,0.999841,1
bronze-controller-146,average,0.5,0.999938,1
bronze-controller-149,average,0.5,0.999798,1
bronze-controller-15,average,0.5,0.999884,1
bronze-controller-150,average,0.5,0.99998,1
bronze-controller-151,average,0.5,0.999939,1
bronze-controller-152,average,0.5,0.99991,1
bronze-controller-154,average,0.5,0.999769,1
bronze-controller-156,average,0.5,0.999938,1
bronze-controller-159,average,0.5,0.999743,1
bronze-controller-16,average,0.5,0.999814,1
bronze-controller-161,average,0.5,0.999868,1
bronze-controller-164,average,0.5,0.999729,1
bronze-controller-165,average,0.5,0.999994,1
bronze-controller-168,average,0.5,0.999729,1
bronze-controller-169,average,0.5,0.999952,1
bronze-controller-17,average,0.5,0.999773,1
bronze-controller-171,average,0.5,0.999812,1
bronze-controller-172,average,0.5,0.999784,1
bronze-controller-173,average,0.5,0.999742,1
bronze-controller-174,average,0.5,0.999952,1
bronze-controller-175,average,0.5,0.999854,1
bronze-controller-176,average,0.5,0.99984,1
bronze-controller-179,average,0.5,0.99991,1
bronze-controller-18,average,0.5,0.99998,1
bronze-controller-180,average,0.5,0.999896,1
bronze-controller-183,average,0.5,0.999938,1
bronze-controller-184,average,0.5,0.999896,1
bronze-controller-19,average,0.5,0.999938,1
bronze-controller-2,average,0.5,0.999869,1
bronze-controller-20,average,0.5,0.999841,1
bronze-controller-204,average,0.5,0,1
bronze-controller-206,average,0.5,0,1
bronze-controller-209,average,0.5,0,1
bronze-controller-211,average,0.5,0,1
bronze-controller-213,average,0.5,0,1
bronze-controller-217,average,0.5,0,1
bronze-controller-22,average,0.5,0.999952,1
bronze-controller-23,average,0.5,0.999883,1
bronze-controller-3,average,0.5,0.999845,1
bronze-controller-30,average,0.5,0.999772,1
bronze-controller-32,average,0.5,0.999897,1
bronze-controller-33,average,0.5,0.999882,1
bronze-controller-34,average,0.5,0.9998,1
bronze-controller-35,average,0.5,0.999772,1
bronze-controller-36,average,0.5,0.999758,1
bronze-controller-40,average,0.5,0.999786,1
bronze-controller-41,average,0.5,0.999897,1
bronze-controller-47,average,0.5,0.999827,1
bronze-controller-49,average,0.5,0.999729,1
bronze-controller-50,average,0.5,0.999994,1
bronze-controller-52,average,0.5,0.999827,1
bronze-controller-55,average,0.5,0.999939,1
bronze-controller-59,average,0.5,0.99998,1
bronze-controller-61,average,0.5,0.999772,1
bronze-controller-62,average,0.5,0.999758,1
bronze-controller-63,average,0.5,0.99973,1
bronze-controller-65,average,0.5,0.999883,1
bronze-controller-67,average,0.5,0.999758,1
bronze-controller-68,average,0.5,0.999744,1
bronze-controller-73,average,0.5,0.999966,1
bronze-controller-76,average,0.5,0.999785,1
bronze-controller-77,average,0.5,0.99973,1
bronze-controller-78,average,0.5,0.999981,1
bronze-controller-8,average,0.5,0.999951,1
bronze-controller-80,average,0.5,0.999827,1
