controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-73,average,0.5,0.437373,1
bronze-controller-55,average,0.5,0.439328,1
bronze-controller-68,average,0.5,0.447727,1
bronze-controller-58,average,0.5,0.44672,1
bronze-controller-51,average,0.5,0.441756,1
bronze-controller-45,average,0.5,0.440144,1
bronze-controller-49,average,0.5,0.43806,1
bronze-controller-71,average,0.5,0.439518,1
bronze-controller-4,average,0.5,0.45067,1
bronze-controller-12,average,0.5,0.444191,1
bronze-controller-54,average,0.5,0.449672,1
bronze-controller-19,average,0.5,0.439063,1
bronze-controller-36,average,0.5,0.441061,1
bronze-controller-75,average,0.5,0.440241,1
bronze-controller-16,average,0.5,0.440576,1
bronze-controller-3,average,0.5,0.44088,1
bronze-controller-11,average,0.5,0.440601,1
bronze-controller-1,average,0.5,0.443434,1
bronze-controller-76,average,0.5,0.448269,1
bronze-controller-6,average,0.5,0.440412,1
bronze-controller-31,average,0.5,0.440579,1
bronze-controller-5,average,0.5,0.44172,1
bronze-controller-23,average,0.5,0.43974,1
bronze-controller-39,average,0.5,0.443681,1
bronze-controller-21,average,0.5,0.445686,1
bronze-controller-18,average,0.5,0.443457,1
bronze-controller-92,average,0.5,0.43818,1
bronze-controller-86,average,0.5,0.439293,1
bronze-controller-14,average,0.5,0.435114,1
bronze-controller-89,average,0.5,0.440349,1
bronze-controller-91,average,0.5,0.452412,1
bronze-controller-27,average,0.5,0.439526,1
bronze-controller-2,average,0.5,0.445382,1
bronze-controller-83,average,0.5,0.440345,1
bronze-controller-69,average,0.5,0.440641,1
bronze-controller-64,average,0.5,0.443602,1
bronze-controller-20,average,0.5,0.446828,1
bronze-controller-97,average,0.5,0.438581,1
bronze-controller-96,average,0.5,0.442995,1
bronze-controller-87,average,0.5,0.442732,1
bronze-controller-30,average,0.5,0.440024,1
bronze-controller-33,average,0.5,0.44174,1
bronze-controller-106,average,0.5,0.441564,1
bronze-controller-100,average,0.5,0.443386,1
bronze-controller-63,average,0.5,0.441109,1
bronze-controller-56,average,0.5,0.449755,1
bronze-controller-93,average,0.5,0.439846,1
bronze-controller-48,average,0.5,0.444494,1
bronze-controller-47,average,0.5,0.447786,1
bronze-controller-42,average,0.5,0.447913,1
bronze-controller-90,average,0.5,0.433541,1
bronze-controller-79,average,0.5,0.43985,1
bronze-controller-101,average,0.5,0.442858,1
bronze-controller-104,average,0.5,0.443582,1
bronze-controller-88,average,0.5,0.439657,1
bronze-controller-78,average,0.5,0.438819,1
bronze-controller-99,average,0.5,0.439701,1
bronze-controller-115,average,0.5,0.447034,1
bronze-controller-59,average,0.5,0.441957,1
bronze-controller-103,average,0.5,0.442588,1
bronze-controller-117,average,0.5,0.442107,1
bronze-controller-77,average,0.5,0.440628,1
bronze-controller-102,average,0.5,0.441763,1
bronze-controller-94,average,0.5,0.439266,1
bronze-controller-72,average,0.5,0.441467,1
bronze-controller-120,average,0.5,0.439988,1
bronze-controller-121,average,0.5,0.449652,1
bronze-controller-112,average,0.5,0.442762,1
bronze-controller-122,average,0.5,0.440559,1
bronze-controller-60,average,0.5,0.441661,1
bronze-controller-125,average,0.5,0.443077,1
bronze-controller-119,average,0.5,0.438057,1
bronze-controller-105,average,0.5,0.443105,1
bronze-controller-131,average,0.5,0.441037,1
bronze-controller-126,average,0.5,0.43972,1
bronze-controller-134,average,0.5,0.441251,1
bronze-controller-116,average,0.5,0.444868,1
bronze-controller-118,average,0.5,0.442213,1
bronze-controller-136,average,0.5,0.439377,1
bronze-controller-141,average,0.5,0.442046,1
bronze-controller-128,average,0.5,0.441143,1
bronze-controller-130,average,0.5,0.441317,1
bronze-controller-143,average,0.5,0.439795,1
bronze-controller-139,average,0.5,0.442446,1
bronze-controller-137,average,0.5,0.442974,1
bronze-controller-146,average,0.5,0.440744,1
bronze-controller-135,average,0.5,0.440752,1
bronze-controller-133,average,0.5,0.444774,1
