controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-1,average,0.5,0.99972,1
bronze-controller-100,average,0.5,0.999874,1
bronze-controller-101,average,0.5,0.999958,1
bronze-controller-102,average,0.5,0.999944,1
bronze-controller-103,average,0.5,0.999889,1
bronze-controller-104,average,0.5,0.999834,1
bronze-controller-106,average,0.5,0.999974,1
bronze-controller-109,average,0.5,0.999791,1
bronze-controller-11,average,0.5,0.999958,1
bronze-controller-110,average,0.5,0.999749,1
bronze-controller-113,average,0.5,0.999847,1
bronze-controller-114,average,0.5,0.999792,1
bronze-controller-116,average,0.5,0.99996,1
bronze-controller-118,average,0.5,0.999848,1
bronze-controller-12,average,0.5,0.999889,1
bronze-controller-122,average,0.5,0.999819,1
bronze-controller-124,average,0.5,0.999736,1
bronze-controller-127,average,0.5,0.999834,1
bronze-controller-129,average,0.5,0.999736,1
bronze-controller-13,average,0.5,0.999848,1
bronze-controller-132,average,0.5,0.99979,1
bronze-controller-133,average,0.5,0.99975,1
bronze-controller-136,average,0.5,0.999889,1
bronze-controller-137,average,0.5,0.999792,1
bronze-controller-139,average,0.5,0.999959,1
bronze-controller-140,average,0.5,0.999945,1
bronze-controller-141,average,0.5,0.999763,1
bronze-controller-142,average,0.5,0.999735,1
bronze-controller-143,average,0.5,0.999987,1
bronze-controller-144,average,0.5,0.999931,1
bronze-controller-150,average,0.5,0.99982,1
bronze-controller-151,average,0.5,0.999763,1
bronze-controller-152,average,0.5,0.999987,1
bronze-controller-153,average,0.5,0.999973,1
bronze-controller-154,average,0.5,0.999889,1
bronze-controller-155,average,0.5,0.999804,1
bronze-controller-156,average,0.5,0.999749,1
bronze-controller-157,average,0.5,0.999973,1
bronze-controller-161,average,0.5,0.99993,1
bronze-controller-162,average,0.5,0.999902,1
bronze-controller-166,average,0.5,0.999958,1
bronze-controller-168,average,0.5,0.999847,1
bronze-controller-171,average,0.5,0.999974,1
bronze-controller-173,average,0.5,0.999847,1
bronze-controller-175,average,0.5,0.999972,1
bronze-controller-179,average,0.5,0.999762,1
bronze-controller-2,average,0.5,0.999974,1
bronze-controller-20,average,0.5,0.999958,1
bronze-controller-30,average,0.5,0.99989,1
bronze-controller-32,average,0.5,0.999736,1
bronze-controller-33,average,0.5,0.999987,1
bronze-controller-35,average,0.5,0.999904,1
bronze-controller-38,average,0.5,0.999973,1
bronze-controller-42,average,0.5,0.999958,1
bronze-controller-46,average,0.5,0.999736,1
bronze-controller-49,average,0.5,0.999876,1
bronze-controller-50,average,0.5,0.999779,1
bronze-controller-55,average,0.5,0.999736,1
bronze-controller-59,average,0.5,0.999848,1
bronze-controller-61,average,0.5,0.999901,1
bronze-controller-62,average,0.5,0.999848,1
bronze-controller-66,average,0.5,0.99989,1
bronze-controller-67,average,0.5,0.999849,1
bronze-controller-68,average,0.5,0.999821,1
bronze-controller-69,average,0.5,0.999723,1
bronze-controller-7,average,0.5,0.999834,1
bronze-controller-74,average,0.5,0.999987,1
bronze-controller-75,average,0.5,0.999918,1
bronze-controller-77,average,0.5,0.999862,1
bronze-controller-78,average,0.5,0.999737,1
bronze-controller-79,average,0.5,0.999946,1
bronze-controller-80,average,0.5,0.999931,1
bronze-controller-84,average,0.5,0.999946,1
bronze-controller-86,average,0.5,0.999763,1
bronze-controller-88,average,0.5,0.999973,1
bronze-controller-9,average,0.5,0.99975,1
bronze-controller-90,average,0.5,0.99989,1
bronze-controller-91,average,0.5,0.999764,1
bronze-controller-96,average,0.5,0.99975,1
bronze-controller-99,average,0.5,0.999904,1
gold-controller-10,average,1,0.999986,1
gold-controller-105,average,1,0.99975,1
gold-controller-107,average,1,0.999945,1
gold-controller-108,average,1,0.999889,1
gold-controller-111,average,1,0.999973,1
gold-controller-112,average,1,0.999917,1
gold-controller-115,average,1,0.999736,1
gold-controller-117,average,1,0.999918,1
gold-controller-119,average,1,0.999806,1
gold-controller-120,average,1,0.999736,1
gold-controller-121,average,1,0.999861,1
gold-controller-123,average,1,0.999778,1
gold-controller-125,average,1,0.999959,1
gold-controller-126,average,1,0.999889,1
gold-controller-128,average,1,0.999792,1
gold-controller-130,average,1,0.99996,1
gold-controller-131,average,1,0.99989,1
gold-controller-134,average,1,0.99996,1
gold-controller-135,average,1,0.999917,1
gold-controller-138,average,1,0.999778,1
gold-controller-14,average,1,0.999779,1
gold-controller-145,average,1,0.999819,1
gold-controller-146,average,1,0.999749,1
gold-controller-147,average,1,0.999987,1
gold-controller-148,average,1,0.999945,1
gold-controller-149,average,1,0.999918,1
gold-controller-15,average,1,0.999986,1
gold-controller-158,average,1,0.999918,1
gold-controller-159,average,1,0.999861,1
gold-controller-16,average,1,0.999932,1
gold-controller-160,average,1,0.99982,1
gold-controller-163,average,1,0.999889,1
gold-controller-164,average,1,0.999848,1
gold-controller-165,average,1,0.999777,1
gold-controller-167,average,1,0.999903,1
gold-controller-169,average,1,0.999792,1
gold-controller-17,average,1,0.99989,1
gold-controller-170,average,1,0.999736,1
gold-controller-172,average,1,0.999917,1
gold-controller-174,average,1,0.999804,1
gold-controller-176,average,1,0.999945,1
gold-controller-177,average,1,0.999889,1
gold-controller-178,average,1,0.999833,1
gold-controller-18,average,1,0.999806,1
gold-controller-180,average,1,0.999987,1
gold-controller-19,average,1,0.999765,1
gold-controller-21,average,1,0.99982,1
gold-controller-22,average,1,0.999764,1
gold-controller-23,average,1,0.999986,1
gold-controller-24,average,1,0.999973,1
gold-controller-25,average,1,0.999931,1
gold-controller-26,average,1,0.999848,1
gold-controller-27,average,1,0.999737,1
gold-controller-28,average,1,0.999987,1
gold-controller-29,average,1,0.999946,1
gold-controller-3,average,1,0.999949,1
gold-controller-31,average,1,0.999834,1
gold-controller-34,average,1,0.999932,1
gold-controller-36,average,1,0.999862,1
gold-controller-37,average,1,0.999751,1
gold-controller-39,average,1,0.999959,1
gold-controller-4,average,1,0.999924,1
gold-controller-40,average,1,0.99989,1
gold-controller-41,average,1,0.999986,1
gold-controller-43,average,1,0.999917,1
gold-controller-44,average,1,0.999876,1
gold-controller-45,average,1,0.999763,1
gold-controller-47,average,1,0.999944,1
gold-controller-48,average,1,0.999904,1
gold-controller-5,average,1,0.999899,1
gold-controller-51,average,1,0.999737,1
gold-controller-52,average,1,0.999959,1
gold-controller-53,average,1,0.999861,1
gold-controller-54,average,1,0.999835,1
gold-controller-56,average,1,0.999987,1
gold-controller-57,average,1,0.999903,1
gold-controller-58,average,1,0.999862,1
gold-controller-6,average,1,0.999875,1
gold-controller-60,average,1,0.999736,1
gold-controller-63,average,1,0.999821,1
gold-controller-64,average,1,0.999779,1
gold-controller-65,average,1,0.999946,1
gold-controller-70,average,1,0.999946,1
gold-controller-71,average,1,0.99989,1
gold-controller-72,average,1,0.999875,1
gold-controller-73,average,1,0.999835,1
gold-controller-76,average,1,0.999903,1
gold-controller-8,average,1,0.999778,1
gold-controller-81,average,1,0.999792,1
gold-controller-82,average,1,0.999736,1
gold-controller-83,average,1,0.999973,1
gold-controller-85,average,1,0.999904,1
gold-controller-87,average,1,0.999723,1
gold-controller-89,average,1,0.999931,1
gold-controller-92,average,1,0.999987,1
gold-controller-93,average,1,0.999946,1
gold-controller-94,average,1,0.999918,1
gold-controller-95,average,1,0.999876,1
gold-controller-97,average,1,0.999973,1
gold-controller-98,average,1,0.999945,1
