controllerName,qosMeasuring,controllerSlo,finalAvailability,replication
bronze-controller-49,average,0.5,0.416052,1
bronze-controller-45,average,0.5,0.417046,1
bronze-controller-40,average,0.5,0.416466,1
bronze-controller-33,average,0.5,0.413709,1
bronze-controller-37,average,0.5,0.412405,1
bronze-controller-35,average,0.5,0.414456,1
bronze-controller-30,average,0.5,0.413125,1
bronze-controller-17,average,0.5,0.41326,1
bronze-controller-28,average,0.5,0.415279,1
bronze-controller-26,average,0.5,0.413207,1
bronze-controller-23,average,0.5,0.413481,1
bronze-controller-12,average,0.5,0.413616,1
bronze-controller-9,average,0.5,0.417337,1
bronze-controller-7,average,0.5,0.415548,1
bronze-controller-5,average,0.5,0.414821,1
bronze-controller-3,average,0.5,0.414289,1
bronze-controller-1,average,0.5,0.412965,1
bronze-controller-56,average,0.5,0.412777,1
bronze-controller-52,average,0.5,0.414759,1
bronze-controller-54,average,0.5,0.41214,1
bronze-controller-62,average,0.5,0.416081,1
bronze-controller-59,average,0.5,0.416927,1
bronze-controller-63,average,0.5,0.415819,1
bronze-controller-60,average,0.5,0.415517,1
silver-controller-22,average,0.9,0.966926,1
silver-controller-46,average,0.9,0.916554,1
silver-controller-47,average,0.9,0.904117,1
silver-controller-43,average,0.9,0.904997,1
silver-controller-39,average,0.9,0.906521,1
silver-controller-32,average,0.9,0.906601,1
silver-controller-27,average,0.9,0.913018,1
silver-controller-24,average,0.9,0.904503,1
silver-controller-21,average,0.9,0.904419,1
silver-controller-64,average,0.9,0.903189,1
silver-controller-57,average,0.9,0.904721,1
silver-controller-51,average,0.9,0.90743,1
silver-controller-19,average,0.9,0.902614,1
silver-controller-18,average,0.9,0.906247,1
gold-controller-11,average,1,0.999872,1
gold-controller-16,average,1,0.999873,1
gold-controller-2,average,1,0.999916,1
gold-controller-20,average,1,0.999928,1
gold-controller-25,average,1,0.999816,1
gold-controller-29,average,1,0.999873,1
gold-controller-31,average,1,0.999761,1
gold-controller-34,average,1,0.999872,1
gold-controller-36,average,1,0.999789,1
gold-controller-38,average,1,0.99972,1
gold-controller-41,average,1,0.999927,1
gold-controller-42,average,1,0.999914,1
gold-controller-44,average,1,0.999816,1
gold-controller-48,average,1,0.999789,1
gold-controller-50,average,1,0.999956,1
gold-controller-53,average,1,0.99901,1
gold-controller-55,average,1,0.998481,1
gold-controller-58,average,1,0.997474,1
gold-controller-6,average,1,0.999814,1
gold-controller-61,average,1,0.997668,1
silver-controller-10,average,0.9,0.999927,1
silver-controller-13,average,0.9,0.999775,1
silver-controller-14,average,0.9,0.999955,1
silver-controller-15,average,0.9,0.999928,1
silver-controller-4,average,0.9,0.999864,1
silver-controller-8,average,0.9,0.99973,1
