pod_name,running_entries,total_entries,availability,class_name,slo_value,scenario
bronze-class-deploy-1,721,721,100.0,bronze,50,emulation
bronze-class-deploy-10,721,721,100.0,bronze,50,emulation
bronze-class-deploy-11,721,721,100.0,bronze,50,emulation
bronze-class-deploy-12,721,721,100.0,bronze,50,emulation
bronze-class-deploy-13,721,721,100.0,bronze,50,emulation
bronze-class-deploy-14,721,721,100.0,bronze,50,emulation
bronze-class-deploy-15,721,721,100.0,bronze,50,emulation
bronze-class-deploy-16,721,721,100.0,bronze,50,emulation
bronze-class-deploy-17,721,721,100.0,bronze,50,emulation
bronze-class-deploy-18,721,721,100.0,bronze,50,emulation
bronze-class-deploy-19,721,721,100.0,bronze,50,emulation
bronze-class-deploy-2,721,721,100.0,bronze,50,emulation
bronze-class-deploy-20,721,721,100.0,bronze,50,emulation
bronze-class-deploy-21,721,721,100.0,bronze,50,emulation
bronze-class-deploy-22,721,721,100.0,bronze,50,emulation
bronze-class-deploy-23,721,721,100.0,bronze,50,emulation
bronze-class-deploy-24,721,721,100.0,bronze,50,emulation
bronze-class-deploy-25,721,721,100.0,bronze,50,emulation
bronze-class-deploy-26,721,721,100.0,bronze,50,emulation
bronze-class-deploy-27,721,721,100.0,bronze,50,emulation
bronze-class-deploy-28,721,721,100.0,bronze,50,emulation
bronze-class-deploy-29,721,721,100.0,bronze,50,emulation
bronze-class-deploy-3,721,721,100.0,bronze,50,emulation
bronze-class-deploy-30,721,721,100.0,bronze,50,emulation
bronze-class-deploy-31,721,721,100.0,bronze,50,emulation
bronze-class-deploy-32,721,721,100.0,bronze,50,emulation
bronze-class-deploy-33,721,721,100.0,bronze,50,emulation
bronze-class-deploy-34,721,721,100.0,bronze,50,emulation
bronze-class-deploy-35,721,721,100.0,bronze,50,emulation
bronze-class-deploy-36,721,721,100.0,bronze,50,emulation
bronze-class-deploy-37,721,721,100.0,bronze,50,emulation
bronze-class-deploy-38,721,721,100.0,bronze,50,emulation
bronze-class-deploy-39,721,721,100.0,bronze,50,emulation
bronze-class-deploy-4,721,721,100.0,bronze,50,emulation
bronze-class-deploy-40,721,721,100.0,bronze,50,emulation
bronze-class-deploy-41,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-42,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-43,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-44,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-45,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-46,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-47,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-48,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-49,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-5,721,721,100.0,bronze,50,emulation
bronze-class-deploy-50,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-51,55,716,7.681564245810056,bronze,50,emulation
bronze-class-deploy-52,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-53,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-54,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-55,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-56,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-57,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-58,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-59,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-6,721,721,100.0,bronze,50,emulation
bronze-class-deploy-60,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-61,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-62,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-63,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-64,49,716,6.843575418994413,bronze,50,emulation
bronze-class-deploy-65,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-66,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-67,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-68,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-69,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-7,721,721,100.0,bronze,50,emulation
bronze-class-deploy-70,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-71,43,716,6.005586592178771,bronze,50,emulation
bronze-class-deploy-72,0,716,0.0,bronze,50,emulation
bronze-class-deploy-73,0,673,0.0,bronze,50,emulation
bronze-class-deploy-74,0,673,0.0,bronze,50,emulation
bronze-class-deploy-75,0,667,0.0,bronze,50,emulation
bronze-class-deploy-76,0,667,0.0,bronze,50,emulation
bronze-class-deploy-77,0,667,0.0,bronze,50,emulation
bronze-class-deploy-78,0,667,0.0,bronze,50,emulation
bronze-class-deploy-79,0,667,0.0,bronze,50,emulation
bronze-class-deploy-8,721,721,100.0,bronze,50,emulation
bronze-class-deploy-80,0,667,0.0,bronze,50,emulation
bronze-class-deploy-81,0,667,0.0,bronze,50,emulation
bronze-class-deploy-82,0,667,0.0,bronze,50,emulation
bronze-class-deploy-83,0,667,0.0,bronze,50,emulation
bronze-class-deploy-84,0,667,0.0,bronze,50,emulation
bronze-class-deploy-85,0,667,0.0,bronze,50,emulation
bronze-class-deploy-86,0,667,0.0,bronze,50,emulation
bronze-class-deploy-87,0,661,0.0,bronze,50,emulation
bronze-class-deploy-88,0,661,0.0,bronze,50,emulation
bronze-class-deploy-89,0,661,0.0,bronze,50,emulation
bronze-class-deploy-9,721,721,100.0,bronze,50,emulation
bronze-class-deploy-90,0,661,0.0,bronze,50,emulation
bronze-class-deploy-91,0,661,0.0,bronze,50,emulation
bronze-class-deploy-92,0,661,0.0,bronze,50,emulation
bronze-class-deploy-93,0,661,0.0,bronze,50,emulation
bronze-class-deploy-94,0,661,0.0,bronze,50,emulation
bronze-class-deploy-95,0,661,0.0,bronze,50,emulation
bronze-class-deploy-96,0,661,0.0,bronze,50,emulation
gold-class-deploy-1,721,721,100.0,gold,100,emulation
gold-class-deploy-10,721,721,100.0,gold,100,emulation
gold-class-deploy-11,721,721,100.0,gold,100,emulation
gold-class-deploy-12,721,721,100.0,gold,100,emulation
gold-class-deploy-13,721,721,100.0,gold,100,emulation
gold-class-deploy-14,721,721,100.0,gold,100,emulation
gold-class-deploy-15,721,721,100.0,gold,100,emulation
gold-class-deploy-16,721,721,100.0,gold,100,emulation
gold-class-deploy-17,721,721,100.0,gold,100,emulation
gold-class-deploy-18,721,721,100.0,gold,100,emulation
gold-class-deploy-19,721,721,100.0,gold,100,emulation
gold-class-deploy-2,721,721,100.0,gold,100,emulation
gold-class-deploy-20,721,721,100.0,gold,100,emulation
gold-class-deploy-21,721,721,100.0,gold,100,emulation
gold-class-deploy-22,721,721,100.0,gold,100,emulation
gold-class-deploy-23,721,721,100.0,gold,100,emulation
gold-class-deploy-24,721,721,100.0,gold,100,emulation
gold-class-deploy-25,721,721,100.0,gold,100,emulation
gold-class-deploy-26,721,721,100.0,gold,100,emulation
gold-class-deploy-27,721,721,100.0,gold,100,emulation
gold-class-deploy-28,721,721,100.0,gold,100,emulation
gold-class-deploy-29,721,721,100.0,gold,100,emulation
gold-class-deploy-3,721,721,100.0,gold,100,emulation
gold-class-deploy-30,721,721,100.0,gold,100,emulation
gold-class-deploy-31,721,721,100.0,gold,100,emulation
gold-class-deploy-32,721,721,100.0,gold,100,emulation
gold-class-deploy-33,721,721,100.0,gold,100,emulation
gold-class-deploy-34,721,721,100.0,gold,100,emulation
gold-class-deploy-35,721,721,100.0,gold,100,emulation
gold-class-deploy-36,721,721,100.0,gold,100,emulation
gold-class-deploy-37,721,721,100.0,gold,100,emulation
gold-class-deploy-38,721,721,100.0,gold,100,emulation
gold-class-deploy-39,721,721,100.0,gold,100,emulation
gold-class-deploy-4,721,721,100.0,gold,100,emulation
gold-class-deploy-40,721,721,100.0,gold,100,emulation
gold-class-deploy-41,721,721,100.0,gold,100,emulation
gold-class-deploy-42,721,721,100.0,gold,100,emulation
gold-class-deploy-43,721,721,100.0,gold,100,emulation
gold-class-deploy-44,721,721,100.0,gold,100,emulation
gold-class-deploy-45,721,721,100.0,gold,100,emulation
gold-class-deploy-46,721,721,100.0,gold,100,emulation
gold-class-deploy-47,721,721,100.0,gold,100,emulation
gold-class-deploy-48,721,721,100.0,gold,100,emulation
gold-class-deploy-49,721,721,100.0,gold,100,emulation
gold-class-deploy-5,721,721,100.0,gold,100,emulation
gold-class-deploy-50,721,721,100.0,gold,100,emulation
gold-class-deploy-51,721,721,100.0,gold,100,emulation
gold-class-deploy-52,721,721,100.0,gold,100,emulation
gold-class-deploy-53,721,721,100.0,gold,100,emulation
gold-class-deploy-54,721,721,100.0,gold,100,emulation
gold-class-deploy-55,721,721,100.0,gold,100,emulation
gold-class-deploy-56,721,721,100.0,gold,100,emulation
gold-class-deploy-57,721,721,100.0,gold,100,emulation
gold-class-deploy-58,721,721,100.0,gold,100,emulation
gold-class-deploy-59,721,721,100.0,gold,100,emulation
gold-class-deploy-6,721,721,100.0,gold,100,emulation
gold-class-deploy-60,721,721,100.0,gold,100,emulation
gold-class-deploy-61,721,721,100.0,gold,100,emulation
gold-class-deploy-62,721,721,100.0,gold,100,emulation
gold-class-deploy-63,721,721,100.0,gold,100,emulation
gold-class-deploy-64,721,721,100.0,gold,100,emulation
gold-class-deploy-65,721,721,100.0,gold,100,emulation
gold-class-deploy-66,678,678,100.0,gold,100,emulation
gold-class-deploy-67,672,678,99.11504424778761,gold,100,emulation
gold-class-deploy-68,672,672,100.0,gold,100,emulation
gold-class-deploy-69,672,672,100.0,gold,100,emulation
gold-class-deploy-7,721,721,100.0,gold,100,emulation
gold-class-deploy-70,672,672,100.0,gold,100,emulation
gold-class-deploy-71,672,672,100.0,gold,100,emulation
gold-class-deploy-72,672,672,100.0,gold,100,emulation
gold-class-deploy-73,672,672,100.0,gold,100,emulation
gold-class-deploy-74,672,672,100.0,gold,100,emulation
gold-class-deploy-75,672,672,100.0,gold,100,emulation
gold-class-deploy-76,672,672,100.0,gold,100,emulation
gold-class-deploy-77,666,672,99.10714285714286,gold,100,emulation
gold-class-deploy-78,666,666,100.0,gold,100,emulation
gold-class-deploy-79,666,666,100.0,gold,100,emulation
gold-class-deploy-8,721,721,100.0,gold,100,emulation
gold-class-deploy-80,666,666,100.0,gold,100,emulation
gold-class-deploy-9,721,721,100.0,gold,100,emulation
silver-class-deploy-1,721,721,100.0,silver,90,emulation
silver-class-deploy-10,721,721,100.0,silver,90,emulation
silver-class-deploy-11,721,721,100.0,silver,90,emulation
silver-class-deploy-12,721,721,100.0,silver,90,emulation
silver-class-deploy-13,721,721,100.0,silver,90,emulation
silver-class-deploy-14,721,721,100.0,silver,90,emulation
silver-class-deploy-15,721,721,100.0,silver,90,emulation
silver-class-deploy-16,721,721,100.0,silver,90,emulation
silver-class-deploy-17,721,721,100.0,silver,90,emulation
silver-class-deploy-18,721,721,100.0,silver,90,emulation
silver-class-deploy-19,721,721,100.0,silver,90,emulation
silver-class-deploy-2,721,721,100.0,silver,90,emulation
silver-class-deploy-20,721,721,100.0,silver,90,emulation
silver-class-deploy-21,721,721,100.0,silver,90,emulation
silver-class-deploy-22,721,721,100.0,silver,90,emulation
silver-class-deploy-23,721,721,100.0,silver,90,emulation
silver-class-deploy-24,721,721,100.0,silver,90,emulation
silver-class-deploy-25,721,721,100.0,silver,90,emulation
silver-class-deploy-26,721,721,100.0,silver,90,emulation
silver-class-deploy-27,721,721,100.0,silver,90,emulation
silver-class-deploy-28,721,721,100.0,silver,90,emulation
silver-class-deploy-29,721,721,100.0,silver,90,emulation
silver-class-deploy-3,721,721,100.0,silver,90,emulation
silver-class-deploy-30,721,721,100.0,silver,90,emulation
silver-class-deploy-31,721,721,100.0,silver,90,emulation
silver-class-deploy-32,721,721,100.0,silver,90,emulation
silver-class-deploy-33,721,721,100.0,silver,90,emulation
silver-class-deploy-34,721,721,100.0,silver,90,emulation
silver-class-deploy-35,721,721,100.0,silver,90,emulation
silver-class-deploy-36,721,721,100.0,silver,90,emulation
silver-class-deploy-37,721,721,100.0,silver,90,emulation
silver-class-deploy-38,721,721,100.0,silver,90,emulation
silver-class-deploy-39,721,721,100.0,silver,90,emulation
silver-class-deploy-4,721,721,100.0,silver,90,emulation
silver-class-deploy-40,721,721,100.0,silver,90,emulation
silver-class-deploy-41,721,721,100.0,silver,90,emulation
silver-class-deploy-42,721,721,100.0,silver,90,emulation
silver-class-deploy-43,721,721,100.0,silver,90,emulation
silver-class-deploy-44,721,721,100.0,silver,90,emulation
silver-class-deploy-45,721,721,100.0,silver,90,emulation
silver-class-deploy-46,721,721,100.0,silver,90,emulation
silver-class-deploy-47,721,721,100.0,silver,90,emulation
silver-class-deploy-48,721,721,100.0,silver,90,emulation
silver-class-deploy-49,721,721,100.0,silver,90,emulation
silver-class-deploy-5,721,721,100.0,silver,90,emulation
silver-class-deploy-50,721,721,100.0,silver,90,emulation
silver-class-deploy-51,721,721,100.0,silver,90,emulation
silver-class-deploy-52,721,721,100.0,silver,90,emulation
silver-class-deploy-53,721,721,100.0,silver,90,emulation
silver-class-deploy-54,721,721,100.0,silver,90,emulation
silver-class-deploy-55,721,721,100.0,silver,90,emulation
silver-class-deploy-56,721,721,100.0,silver,90,emulation
silver-class-deploy-57,721,721,100.0,silver,90,emulation
silver-class-deploy-58,721,721,100.0,silver,90,emulation
silver-class-deploy-59,721,721,100.0,silver,90,emulation
silver-class-deploy-6,721,721,100.0,silver,90,emulation
silver-class-deploy-60,721,721,100.0,silver,90,emulation
silver-class-deploy-61,721,721,100.0,silver,90,emulation
silver-class-deploy-62,721,721,100.0,silver,90,emulation
silver-class-deploy-63,721,721,100.0,silver,90,emulation
silver-class-deploy-64,721,721,100.0,silver,90,emulation
silver-class-deploy-65,678,678,100.0,silver,90,emulation
silver-class-deploy-66,678,678,100.0,silver,90,emulation
silver-class-deploy-67,678,678,100.0,silver,90,emulation
silver-class-deploy-68,678,678,100.0,silver,90,emulation
silver-class-deploy-69,672,678,99.11504424778761,silver,90,emulation
silver-class-deploy-7,721,721,100.0,silver,90,emulation
silver-class-deploy-70,672,672,100.0,silver,90,emulation
silver-class-deploy-71,672,672,100.0,silver,90,emulation
silver-class-deploy-72,666,672,99.10714285714286,silver,90,emulation
silver-class-deploy-73,666,672,99.10714285714286,silver,90,emulation
silver-class-deploy-74,666,666,100.0,silver,90,emulation
silver-class-deploy-75,666,666,100.0,silver,90,emulation
silver-class-deploy-76,666,666,100.0,silver,90,emulation
silver-class-deploy-77,666,666,100.0,silver,90,emulation
silver-class-deploy-78,666,666,100.0,silver,90,emulation
silver-class-deploy-79,666,666,100.0,silver,90,emulation
silver-class-deploy-8,721,721,100.0,silver,90,emulation
silver-class-deploy-80,666,666,100.0,silver,90,emulation
silver-class-deploy-9,721,721,100.0,silver,90,emulation
