termination_time,task_id_termination,runtime,class_number,waiting_time,task_id_waiting,class_name,slo_value,availability,scenario
1551897471,bronze-179-6c161d91e788-5655d85cfb-rdwxn,3590.0,179,1551893879,bronze-179-6c161d91e788-5655d85cfb-rdwxn,bronze,50,99.94432071269487,experiment
1551897472,bronze-175-fda8c7f081a1-5b84c77788-8rwhd,3597.0,175,1551893873,bronze-175-fda8c7f081a1-5b84c77788-8rwhd,bronze,50,99.9444290080578,experiment
1551897472,gold-2-eb447693de2f-8df4886d9-xkxqq,3600.0,2,1551893870,gold-2-eb447693de2f-8df4886d9-xkxqq,gold,100,99.94447529150472,experiment
1551897473,bronze-184-da36390811ae-6bf4cc6476-b7ngp,3600.0,184,1551893871,bronze-184-da36390811ae-6bf4cc6476-b7ngp,bronze,50,99.94447529150472,experiment
1551897473,gold-23-fe5dd931b51b-6467cd45-gl2dh,3595.0,23,1551893876,gold-23-fe5dd931b51b-6467cd45-gl2dh,gold,100,99.94439810953573,experiment
1551897473,gold-77-f8789277d1df-685677ccd7-p9tjb,3588.0,77,1551893883,gold-77-f8789277d1df-685677ccd7-p9tjb,gold,100,99.94428969359332,experiment
1551897473,gold-30-dca2f48cf63b-75f6498479-hhjb5,3558.0,30,1551893913,gold-30-dca2f48cf63b-75f6498479-hhjb5,gold,100,99.9438202247191,experiment
1551897473,gold-28-71873530f1be-5499d6c577-vvfpm,3591.0,28,1551893880,gold-28-71873530f1be-5499d6c577-vvfpm,gold,100,99.94433620929584,experiment
1551897473,gold-50-3b1c4ef6919a-745f77db7f-w8tbf,3596.0,50,1551893875,gold-50-3b1c4ef6919a-745f77db7f-w8tbf,gold,100,99.9444135630906,experiment
1551897475,bronze-163-257dca03f785-bb7cbc676-r4lvn,3562.0,163,1551893911,bronze-163-257dca03f785-bb7cbc676-r4lvn,bronze,50,99.9438832772166,experiment
1551897475,bronze-230-57f8d85de34a-66c6bb7868-n2nxr,0.0,230,1551893907,bronze-230-57f8d85de34a-66c6bb7868-m4bzl,bronze,50,0.0,experiment
1551897476,bronze-245-f9768b226e1c-55876fcb76-xhvgl,3593.0,245,1551893881,bronze-245-f9768b226e1c-55876fcb76-xhvgl,bronze,50,99.94436717663422,experiment
1551897476,bronze-212-52e6e6cd64a8-77c4ffb5b8-fwtls,0.0,212,1551893884,bronze-212-52e6e6cd64a8-77c4ffb5b8-hzgsp,bronze,50,0.0,experiment
1551897476,silver-86-c01930840854-6d86d549d4-rwc6h,3584.0,86,1551893890,silver-86-c01930840854-6d86d549d4-rwc6h,silver,90,99.94422755158952,experiment
1551897476,gold-51-9f1fd7e31c6d-7dfb7cd599-rbtjk,3549.0,51,1551893925,gold-51-9f1fd7e31c6d-7dfb7cd599-rbtjk,gold,100,99.94367783722895,experiment
1551897477,bronze-170-1a04cfe5d600-66cc8d77bd-rtq4w,3589.0,170,1551893886,bronze-170-1a04cfe5d600-66cc8d77bd-rtq4w,bronze,50,99.9443052074631,experiment
1551897477,bronze-250-9dcb604ed640-f6cb47768-lwfqz,1.0,250,1551894036,bronze-250-9dcb604ed640-f6cb47768-h4cjr,bronze,50,0.029061319383900032,experiment
1551897477,gold-9-eaf4effc58d9-6684d7867c-qpbqj,3592.0,9,1551893882,gold-9-eaf4effc58d9-6684d7867c-qpbqj,gold,100,99.91655076495132,experiment
1551897478,gold-37-ed9a8b760aa5-5f49f8966c-88vpg,3585.0,37,1551893891,gold-37-ed9a8b760aa5-5f49f8966c-88vpg,gold,100,99.94424310008364,experiment
1551897478,silver-97-29b33b584c5a-695f9c8dd8-t6l6v,3602.0,97,1551893874,silver-97-29b33b584c5a-695f9c8dd8-t6l6v,silver,90,99.94450610432852,experiment
1551897479,gold-49-20df6b846628-67d649d7dc-pml44,3561.0,49,1551893916,gold-49-20df6b846628-67d649d7dc-pml44,gold,100,99.94386752736459,experiment
1551897479,gold-79-d2fa056419c7-86b566f969-qct9v,3605.0,79,1551893872,gold-79-d2fa056419c7-86b566f969-qct9v,gold,100,99.94455225949542,experiment
1551897479,bronze-190-570ed8a5106b-5475556c84-bzlbh,3577.0,190,1551893900,bronze-190-570ed8a5106b-5475556c84-bzlbh,bronze,50,99.94411846884604,experiment
1551897479,bronze-197-220eaa59d1c0-cd4f98bf6-d9vk8,0.0,197,1551893892,bronze-197-220eaa59d1c0-cd4f98bf6-bcknp,bronze,50,0.0,experiment
1551897480,bronze-202-6db485ff114e-86798c4864-2mznf,3376.0,202,1551893906,bronze-202-6db485ff114e-86798c4864-55vkl,bronze,50,94.4599888080582,experiment
1551897481,bronze-189-b9a8dae4cfdf-7f665fcf8d-4z87h,0.0,189,1551893878,bronze-189-b9a8dae4cfdf-7f665fcf8d-td2fd,bronze,50,0.0,experiment
1551897481,silver-105-ded0aad9d1e0-d44cd4dc8-gjnmm,3582.0,105,1551893897,silver-105-ded0aad9d1e0-d44cd4dc8-gjnmm,silver,90,99.94419642857143,experiment
1551897481,gold-40-efcbdc3ba3b3-56995f67cf-xfzfn,3594.0,40,1551893885,gold-40-efcbdc3ba3b3-56995f67cf-xfzfn,gold,100,99.94438264738599,experiment
1551897481,bronze-188-a8fc55994674-645d5556dd-zb2pl,3592.0,188,1551893887,bronze-188-a8fc55994674-645d5556dd-zb2pl,bronze,50,99.94435169727323,experiment
1551897481,gold-26-e73575dfa39c-59f947695c-89fv2,3602.0,26,1551893877,gold-26-e73575dfa39c-59f947695c-89fv2,gold,100,99.94450610432852,experiment
1551897482,bronze-214-e73df83c5c39-6c77f96856-8qhq7,8.0,214,1551893905,bronze-214-e73df83c5c39-6c77f96856-s7kt8,bronze,50,0.22365110427732737,experiment
1551897482,silver-103-fc270c871d9b-7b7cd64666-blkw9,3571.0,103,1551893909,silver-103-fc270c871d9b-7b7cd64666-blkw9,silver,90,99.94402462916317,experiment
1551897482,gold-59-fe5f3a4140f9-cd5c66545-s9zkn,3582.0,59,1551893898,gold-59-fe5f3a4140f9-cd5c66545-s9zkn,gold,100,99.94419642857143,experiment
1551897482,gold-67-b926e115bd3e-57c744fd57-h6rbc,3563.0,67,1551893917,gold-67-b926e115bd3e-57c744fd57-h6rbc,gold,100,99.94389901823281,experiment
1551897482,bronze-201-301c593762f4-5b79fcdbf6-t4wnf,3576.0,201,1551893904,bronze-201-301c593762f4-5b79fcdbf6-t4wnf,bronze,50,99.94410285075462,experiment
1551897483,silver-91-7fff63d1c795-9d585f5b8-pdcsl,3540.0,91,1551893940,silver-91-7fff63d1c795-9d585f5b8-pdcsl,silver,90,99.91532599491956,experiment
1551897483,silver-135-f31aa5cb09be-864c7bbb48-65ffw,3578.0,135,1551893903,silver-135-f31aa5cb09be-864c7bbb48-65ffw,silver,90,99.94413407821229,experiment
1551897485,bronze-178-da6fba7fc98d-5b55b6548d-rbp77,4.0,178,1551893938,bronze-178-da6fba7fc98d-5b55b6548d-zhdsb,bronze,50,0.11277135607555681,experiment
1551897485,bronze-199-437e3a1691cf-cdf4c9d48-gmm47,3589.0,199,1551893894,bronze-199-437e3a1691cf-cdf4c9d48-gmm47,bronze,50,99.9443052074631,experiment
1551897486,silver-158-a757591bf207-56c8bd6b94-mpvhz,3589.0,158,1551893895,silver-158-a757591bf207-56c8bd6b94-mpvhz,silver,90,99.9443052074631,experiment
1551897486,bronze-174-9f1d00f0b571-cf768f956-h2xt4,3596.0,174,1551893888,bronze-174-9f1d00f0b571-cf768f956-h2xt4,bronze,50,99.9444135630906,experiment
1551897486,silver-108-10a39dd2cc87-bc66dfd66-g7ckn,3595.0,108,1551893889,silver-108-10a39dd2cc87-bc66dfd66-g7ckn,silver,90,99.94439810953573,experiment
1551897486,silver-137-44f913788be4-6d947c9c4b-gnvx6,3563.0,137,1551893921,silver-137-44f913788be4-6d947c9c4b-gnvx6,silver,90,99.94389901823281,experiment
1551897487,bronze-208-7f26dcffce14-8695d8c676-kkchw,3567.0,208,1551893918,bronze-208-7f26dcffce14-8695d8c676-kkchw,bronze,50,99.94396189408799,experiment
1551897487,gold-65-1a1365944f40-7c564487dc-5ztrs,3533.0,65,1551893951,gold-65-1a1365944f40-7c564487dc-5ztrs,gold,100,99.91515837104072,experiment
1551897487,silver-110-8bcd7518d428-7c79877874-r4qcv,3586.0,110,1551893899,silver-110-8bcd7518d428-7c79877874-r4qcv,silver,90,99.94425863991081,experiment
1551897488,silver-144-1c4b1517a719-68567768d8-8lbb5,3519.0,144,1551893967,silver-144-1c4b1517a719-68567768d8-8lbb5,silver,90,99.94319795512638,experiment
1551897488,silver-123-cbe3dd44bd3c-5fc6cf6bd8-584l9,3574.0,123,1551893912,silver-123-cbe3dd44bd3c-5fc6cf6bd8-584l9,silver,90,99.9440715883669,experiment
1551897488,gold-21-a04c5450a0d0-75696b97b9-jmc44,3593.0,21,1551893893,gold-21-a04c5450a0d0-75696b97b9-jmc44,gold,100,99.94436717663422,experiment
1551897488,silver-117-5dac16029bd5-77ff55fb84-42l7n,3590.0,117,1551893896,silver-117-5dac16029bd5-77ff55fb84-42l7n,silver,90,99.94432071269487,experiment
1551897488,gold-63-de41e12be0ee-544bc6b8f-vw57q,3584.0,63,1551893902,gold-63-de41e12be0ee-544bc6b8f-vw57q,gold,100,99.94422755158952,experiment
1551897489,silver-118-558586687565-86cf8c666b-c86xh,3527.0,118,1551893960,silver-118-558586687565-86cf8c666b-c86xh,silver,90,99.94332672145083,experiment
1551897489,gold-70-4707fea61e63-7894575cb9-jrfwg,3542.0,70,1551893945,gold-70-4707fea61e63-7894575cb9-jrfwg,gold,100,99.94356659142211,experiment
1551897489,gold-8-dd618cadec84-7c56d4f7-rcm6z,3526.0,8,1551893961,gold-8-dd618cadec84-7c56d4f7-rcm6z,gold,100,99.94331065759637,experiment
1551897490,gold-47-18649d1d6e8d-565ffbb8ff-vj9nk,3544.0,47,1551893944,gold-47-18649d1d6e8d-565ffbb8ff-vj9nk,gold,100,99.94359842075579,experiment
1551897490,gold-34-a36a7eeb402f-6f4cf4f987-5m55b,3568.0,34,1551893920,gold-34-a36a7eeb402f-6f4cf4f987-5m55b,gold,100,99.94397759103641,experiment
1551897491,silver-93-e4ce07f845be-7d479c45b4-6jg4n,3525.0,93,1551893964,silver-93-e4ce07f845be-7d479c45b4-6jg4n,silver,90,99.94329458463284,experiment
1551897491,silver-149-d94e0d7ad654-7c4494c7fb-w5j5f,3579.0,149,1551893910,silver-149-d94e0d7ad654-7c4494c7fb-w5j5f,silver,90,99.94414967886065,experiment
1551897491,bronze-213-6062365044bb-78fb79ccb8-5r45b,3497.0,213,1551893992,bronze-213-6062365044bb-78fb79ccb8-5r45b,bronze,50,99.94284081166047,experiment
1551897491,silver-85-fe77b34f950b-5f6f5886f6-k5nkw,3546.0,85,1551893943,silver-85-fe77b34f950b-5f6f5886f6-k5nkw,silver,90,99.94363021420519,experiment
1551897491,silver-114-4cbf0aa3d8e9-5cb8dc774-hrg95,3588.0,114,1551893901,silver-114-4cbf0aa3d8e9-5cb8dc774-hrg95,silver,90,99.94428969359332,experiment
1551897492,silver-141-e83141037679-67b585fdf8-qvzdk,3544.0,141,1551893946,silver-141-e83141037679-67b585fdf8-qvzdk,silver,90,99.94359842075579,experiment
1551897492,silver-102-41327def9a33-84fbcbd5b-gvghk,3567.0,102,1551893922,silver-102-41327def9a33-84fbcbd5b-gvghk,silver,90,99.91596638655463,experiment
1551897492,gold-57-3287bcc028c5-69d848465-xlgr7,3539.0,57,1551893950,gold-57-3287bcc028c5-69d848465-xlgr7,gold,100,99.91530208921513,experiment
1551897493,gold-39-3d3915d727a5-7965cb794c-d8zgf,3538.0,39,1551893953,gold-39-3d3915d727a5-7965cb794c-d8zgf,gold,100,99.94350282485875,experiment
1551897493,gold-74-60effdf1d9c1-78767cb6b9-brgfc,3567.0,74,1551893924,gold-74-60effdf1d9c1-78767cb6b9-brgfc,gold,100,99.94396189408799,experiment
1551897493,gold-46-14455b9725dc-8d7b48455-sf66h,3520.0,46,1551893971,gold-46-14455b9725dc-8d7b48455-sf66h,gold,100,99.94321408290745,experiment
1551897493,silver-101-2a35645618be-85f44c8f58-smfmp,3521.0,101,1551893970,silver-101-2a35645618be-85f44c8f58-smfmp,silver,90,99.94323020153278,experiment
1551897493,gold-24-e27db29d23df-5d798dd977-sh95n,3535.0,24,1551893956,gold-24-e27db29d23df-5d798dd977-sh95n,gold,100,99.94345490528697,experiment
