terminationTime,TastId,Runtime,startTime,MEM,CPU,class_name,slo_value,availability,scenario
3600,3,3394,205.0,375,375,gold,100.0,99.97054491899851,simulation
3600,4,3519,80.0,375,375,gold,100.0,99.97159090909092,simulation
3600,29,3391,208.0,375,375,gold,100.0,99.97051886792451,simulation
3600,44,3407,192.0,375,375,gold,100.0,99.9706572769953,simulation
3600,56,3399,200.0,375,375,gold,100.0,99.97058823529412,simulation
3600,86,3578,21.0,375,375,silver,90.0,99.97205923442304,simulation
3600,97,3594,5.0,375,375,silver,90.0,99.97218358831712,simulation
3600,99,3491,108.0,375,375,silver,90.0,99.971363115693,simulation
3600,100,3430,169.0,375,375,silver,90.0,99.97085397843193,simulation
3600,137,3547,52.0,375,375,silver,90.0,99.9718151071026,simulation
3600,25,3452,147.0,375,375,gold,100.0,99.97103967564436,simulation
3600,35,3527,72.0,375,375,gold,100.0,99.97165532879818,simulation
3600,69,3474,125.0,375,375,gold,100.0,99.97122302158272,simulation
3600,71,3416,183.0,375,375,gold,100.0,99.97073456248172,simulation
3600,77,3585,14.0,375,375,gold,100.0,99.97211377579475,simulation
3600,82,3395,204.0,375,375,silver,90.0,99.97055359246173,simulation
3600,90,3360,239.0,375,375,silver,90.0,99.9702469503124,simulation
3600,103,3559,40.0,375,375,silver,90.0,99.97191011235957,simulation
3600,110,3569,30.0,375,375,silver,90.0,99.9719887955182,simulation
3600,118,3508,91.0,375,375,silver,90.0,99.97150185237959,simulation
3600,7,3410,189.0,375,375,gold,100.0,99.97068308413955,simulation
3600,9,3586,13.0,375,375,gold,100.0,99.9721215500418,simulation
3600,10,3380,219.0,375,375,gold,100.0,99.9704229517894,simulation
3600,34,3548,51.0,375,375,gold,100.0,99.97182304874612,simulation
3600,57,3518,81.0,375,375,gold,100.0,99.97158283603295,simulation
3600,81,3531,68.0,375,375,silver,90.0,99.97168742921856,simulation
3600,108,3579,20.0,375,375,silver,90.0,99.97206703910616,simulation
3600,132,3423,176.0,375,375,silver,90.0,99.97079439252336,simulation
3600,146,3349,250.0,375,375,silver,90.0,99.97014925373135,simulation
3600,225,3486,113.0,375,375,bronze,50.0,99.97132205334098,simulation
3600,14,3374,225.0,375,375,gold,100.0,99.97037037037036,simulation
3600,54,3366,233.0,375,375,gold,100.0,99.97029997029996,simulation
3600,65,3517,82.0,375,375,gold,100.0,99.97157475838544,simulation
3600,79,3596,3.0,375,375,gold,100.0,99.97219905476786,simulation
